year,reseau,n_noeuds,n_liens,densite,composantes,taille_lcc,pct_lcc,diametre_lcc,clustering_moyen,degre_moyen,degre_pond_moyen
2019,newman,10499,60191,0.0010922122675918785,1809,3424,32.61262977426422,20,0.016286429574629165,11.466044385179542,1.3058386513001239
2019,pub,3353,5645,0.0010045148895976744,1809,780,23.262749776319712,19,0.010382311339263081,3.367133909931405,5.444676409185804
2020,simple,11373,64946,0.0010043163054817646,1908,4078,35.85685395234327,22,0.029583188882401485,11.421085025938627,12.671766464433308
2020,newman,11373,64946,0.0010043163054817646,1908,4078,35.85685395234327,22,0.012416198255677243,11.421085025938627,1.3275301151850876
2020,pub,3660,6716,0.0010029913515144184,1908,1003,27.404371584699454,21,0.01100289984208304,3.6699453551912566,6.027322404371585
2021,simple,12162,69740,0.000943056366170694,2022,4484,36.86893603025818,20,0.029587350072001726,11.46850846900181,12.679657950994903
2021,newman,12162,69740,0.000943056366170694,2022,4484,36.86893603025818,20,0.012314459121680681,11.46850846900181,1.3272488077618814
2021,pub,3896,7109,0.0009369406889789205,2022,1137,29.183778234086244,19,0.010894373418889223,3.6493839835728954,5.949691991786447
2022,simple,12946,76954,0.0009183823681660224,2121,4957,38.28981924918894,19,0.02968221810147282,11.88845975590916,13.160821875482775
2022,newman,12946,76954,0.0009183823681660224,2121,4957,38.28981924918894,19,0.012233007756327473,11.88845975590916,1.3355476595087286
2022,pub,4124,7659,0.0009008864892433518,2121,1249,30.28612997090204,18,0.010905207622145937,3.7143549951503396,6.080019398642095
2023,simple,13608,81288,0.0008780105788998271,2202,5349,39.307760141093475,18,0.02975034169671003,11.947089947089948,13.232363315696649
2023,newman,13608,81288,0.0008780105788998271,2202,5349,39.307760141093475,18,0.012212193580720366,11.947089947089948,1.3463403880070546
2023,pub,4349,8222,0.0008696180090253276,2202,1376,31.63945734651644,17,0.011259828688601838,3.781099103242125,6.211083007587951
2024,simple,14481,89467,0.0008533471750562082,2294,5841,40.33561218147918,18,0.029826209544495344,12.356467094813894,13.653062633796008
2024,newman,14481,89467,0.0008533471750562082,2294,5841,40.33561218147918,18,0.01206216617242987,12.356467094813894,1.3545335266901457
2024,pub,4581,8901,0.0008484827686790607,2294,1497,32.678454485920106,17,0.011222062081991455,3.8860510805500983,6.373717528923816
2025,simple,15012,93378,0.000828755422149523,2335,6239,41.56008526512124,18,0.02990482422617663,12.440447641886491,13.844124700239808
2025,newman,15012,93378,0.000828755422149523,2335,6239,41.56008526512124,18,0.012005089960144913,12.440447641886491,1.3642419397815082
2025,pub,4734,9425,0.0008412916848872147,2335,1616,34.13603717786227,17,0.011211219630861016,3.981833544571187,6.530629488804394
